Label,wavelet.LLH_glcm_Idn,wavelet.LHL_firstorder_Median,original_shape_Elongation,wavelet.LHL_glcm_MaximumProbability,wavelet.LLL_glcm_Correlation,log.sigma.1.mm.3D_firstorder_90Percentile,wavelet.HLH_glcm_MCC,wavelet.HHL_firstorder_Median,wavelet.HHL_ngtdm_Contrast,original_firstorder_10Percentile
0,0.978018453,0.351475954,-0.515245788,0.187168247,0.591503591,-0.501369095,-0.804746507,0.111960288,-0.422362632,-0.223455145
0,-0.085572788,-0.011524023,0.115641786,-1.165778645,-0.245380455,-0.460914499,-1.289362453,0.396303816,-0.42936531,-0.367697416
1,0.604415631,-0.719306019,-0.07823283,-0.557451556,0.429335599,-0.67244858,0.583591406,0.156218793,-0.225157706,0.833096522
1,0.765046014,0.570469574,0.228910009,-1.543404561,0.108448769,1.135159714,-0.393440239,-0.143127525,0.252096781,0.027361033
0,0.795598876,0.150981384,-1.511929771,-1.580617713,0.111801148,0.798769613,0.427558019,-0.692530784,0.208922251,0.052167029
0,-0.382506395,0.036090145,0.585658351,1.519125536,-2.382511307,-0.187095293,0.17218777,-1.471999314,1.909390899,-0.133418568
0,-0.156399156,0.156952751,0.036565134,1.17010199,-0.304463937,-0.522107686,0.678423615,-0.060989884,0.083880015,-0.934560354
0,-0.552910202,3.310315685,0.14053157,0.024899721,-0.641614583,2.545770985,0.306288674,-1.420842878,0.051788079,-0.583601452
1,0.326709301,-0.2803045,1.221020423,-0.951548156,0.709774918,-0.618923523,-1.014325952,0.077405502,-0.468519392,0.3865886
1,1.528280285,0.144598564,0.594589741,0.074159389,1.459871681,-0.832656567,-1.255396442,0.071798192,-0.799331528,0.970907609
0,1.114994127,0.136014448,-1.455373396,1.357400073,0.014297196,-0.545170705,-1.244164323,0.605811357,0.148771316,-0.101262648
0,-0.941159013,-0.406833493,-0.134455521,0.303590568,-1.678651511,-0.012757415,1.488980213,-1.889358139,0.868599686,-0.54777057
1,0.633148867,-0.835860059,0.606050626,-0.706220009,-0.851889453,-0.064338551,1.11005748,0.141966791,-0.158802075,1.262148373
1,0.552431368,-0.511144511,-0.469066831,-0.744952487,0.504368449,-0.596424082,-0.698801219,-0.168009832,-0.776487505,0.382913638
1,-1.930847473,-0.16760888,1.429612403,0.359572578,0.452099338,0.228808588,1.01746109,0.102477364,-0.187715727,0.615355005
0,0.267283952,-0.779025761,-1.765903682,-0.965635105,0.189179801,-1.012900486,-0.701684047,-0.748477205,-0.17609292,1.30441044
1,1.058393389,-0.428034793,-2.485490489,0.376178524,0.312017943,-0.929509482,-0.873931037,0.552936421,-0.546399802,0.557474348
1,0.754543216,0.197484151,-0.696118909,-0.543077895,0.958103764,-0.009943602,-0.213719484,-0.10405377,-0.580922209,0.29103958
0,-0.253850267,-0.781237274,-1.049951086,0.207717534,-0.058957286,-0.650967704,0.302333956,0.157113384,-0.663740985,0.125666275
0,0.20931036,-0.14032454,-2.037778363,0.620113681,-0.400307267,0.625593163,0.665284997,-0.217403528,-0.327224832,0.226727739
0,-1.492119997,0.255251102,1.367453958,0.633357331,0.116601517,-0.653157941,-0.983460417,-0.291818689,-0.252891022,0.271746028
0,0.391968098,0.519846631,-2.264700518,4.302287937,0.699904575,-1.091033222,0.230441622,-0.150517279,2.227392084,-0.73794987
0,1.745758772,-0.094856392,-0.339744358,-0.972025953,1.363273161,0.381938973,-0.626487472,-0.210150756,-0.77544798,-0.554201754
0,-1.552515435,-0.130129418,0.070951998,0.47401865,0.944529549,0.385693002,1.130086318,0.162690379,-0.519142827,-5.620137313
1,0.37403824,-1.518589469,-0.547710891,-0.697870452,-1.133187966,-1.117147892,-0.088996456,-0.176280073,0.072486141,0.131178719
0,0.579449091,-0.149561656,-1.624098592,-0.570068291,0.643848867,-0.476997469,-1.076824038,0.937710437,-0.570819218,0.18079071
0,-0.002923307,-0.158508894,-1.235270805,1.087162112,-0.504443245,1.776732452,1.841541906,-0.134951858,0.144149882,-0.449465328
0,-0.634170634,-5.604131745,0.791454602,-1.739781938,0.728484908,-1.622325127,0.174742061,3.183096306,1.027750312,-0.61116367
0,1.001642699,0.444471466,-1.880838296,-0.430599507,1.012684165,0.013492116,-0.993498878,0.427775093,-0.792907258,-0.131581087
0,0.771102389,0.963701666,-0.05524994,-0.68753786,0.73054723,1.331682813,-0.319394517,-0.053319783,-0.49805375,-0.048894435
1,1.583989454,-0.440698563,0.699179928,-0.973779093,1.248983566,-0.169401891,-0.096309478,-0.114366323,-0.859490211,0.934157986
