batch,Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.1.mm.3D_glcm_MCC,wavelet.LLH_glszm_GrayLevelVariance,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.HLL_firstorder_Skewness,wavelet.LHL_glcm_Correlation,wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized,log.sigma.2.mm.3D_glcm_Imc1
2,0,0.322422673,0.82169835,-0.873059758,-0.719311546,-0.944279557,-0.334332365,-1.551495391,-0.671812626,1.027293974,0.048926851
2,1,0.331075266,0.657759576,-0.575088983,0.348479405,0.295437091,-1.027783228,-0.726779954,-0.056556905,0.070399827,-0.378494663
2,1,0.111032068,-2.088682382,1.889859485,0.842244227,-0.513887416,-1.363612129,-1.08527966,0.270368377,-1.283345243,-0.591555124
2,1,-0.066445958,-2.363980937,2.111318944,0.442170886,-1.075810018,-1.18932122,-1.461500478,0.064415986,-0.065429296,-1.382241566
1,0,0.086871485,0.316603208,-0.272008518,-0.86749008,0.09505955,-0.787564846,-0.151871986,0.06772537,0.522574955,-0.03993016
1,0,0.087083274,0.769817628,-0.544907612,-0.203503589,-0.039687432,0.757953873,0.757841932,-0.176199657,0.457598386,0.469691874
2,0,0.320191503,0.709005802,-0.572261655,-0.171647021,-0.669943008,0.409873857,0.838534518,-0.197801508,-0.470507397,-0.045313178
2,0,0.331740351,0.190805639,-0.408357896,-1.332401491,1.124220527,0.618612575,0.289375534,0.825431199,1.44238294,1.805875934
1,0,-0.039614922,-0.976906027,1.316963095,0.132649864,-0.83747857,-1.061363045,1.213391227,-0.417017869,-1.30625329,-0.295950076
1,1,0.075829571,0.029096673,0.09136422,-0.117027095,-0.545697812,-0.116825061,1.661597446,-0.181073068,0.017025999,-0.426423577
2,0,0.314737473,-0.332335249,0.383410779,-0.147186788,0.047906871,-0.724317934,-0.223132369,-0.556433143,0.813749713,-0.0160798
2,0,0.33145162,-0.217042754,-0.319637269,-0.3430247,1.517510615,2.63599954,-0.868355539,0.79038363,0.986258907,2.609891576
2,0,0.332172958,0.287322556,-0.49639968,-0.850909338,1.318661996,3.124793742,1.887202425,-0.12952952,-0.105661033,1.820106284
2,0,0.331110562,0.77548005,-1.022252179,-1.388168578,1.26715392,1.194457294,0.522889988,-0.119163207,1.217176325,1.577383576
2,0,0.331046683,1.006151515,-1.064513222,-0.707476841,0.128262614,0.367207136,0.196273724,0.071024851,0.34046381,-0.00598629
1,0,0.091066781,0.350132148,-0.28978721,-0.405262243,0.963500061,0.998351907,-0.954765732,-0.147918824,0.237521611,-0.352348933
1,0,0.081537006,0.696950128,-0.489914117,0.278541457,-0.319145095,-0.138652488,2.471093966,-0.819259345,-0.198231944,-0.688098945
1,0,0.088041698,0.460679838,-0.471098582,-0.284923117,0.133358451,0.289244494,0.09949224,-0.716361138,-0.199448549,-0.257998923
2,0,0.329915314,1.120226719,-1.172804566,-0.320216157,0.255729121,0.589119758,1.347375309,0.720648188,-0.171889103,1.163458199
1,0,0.088966332,1.236105643,-1.141682058,-0.291217497,-0.241644308,0.846387042,-0.562339483,-0.254666528,0.665818077,-0.212659593
1,0,0.093092715,1.282066424,-1.299785062,-0.056873407,0.387764193,0.771589071,-0.308109554,-0.083449455,0.62237697,-0.278651091
1,0,0.092600272,1.182282735,-1.177342085,0.02739222,-0.253142632,0.948622466,0.016132333,0.051635526,1.089005633,0.409445074
1,0,0.092765558,0.252995995,-0.573775365,-0.858072076,2.488783132,0.524597526,0.085466209,0.472279265,0.53806203,2.154126653
2,0,0.330193927,0.4993417,-0.595774603,-0.714841244,0.931685035,0.637308141,0.372921433,-0.567318224,0.517843586,1.625285182
2,0,0.330805105,0.905422416,-0.977681511,-0.387167846,-0.489853243,-0.207303693,1.511812493,-0.346509365,-0.041789165,1.034810055
2,0,0.330797013,0.997699663,-1.058940853,-0.126355311,0.097318228,0.4655558,0.136074206,0.043399914,0.077470513,0.474030411
2,0,0.329968754,0.415735881,-0.51983783,-0.815335025,0.22439348,0.485305061,-0.374602553,0.346369805,0.335625746,1.635405176
1,0,0.084341469,0.199507648,-0.171278651,-0.023256187,-0.1574363,0.115047229,0.289094876,-0.604811887,0.306923732,1.02133431
1,0,-0.210855581,-0.997810213,1.502678063,0.91155739,-0.155829944,-0.6701665,-0.745747794,0.578584694,-1.416292315,0.520319548
1,0,0.093694346,0.782709274,-0.735724996,0.451076435,1.400841354,-0.258599841,-0.190966184,0.075341269,-0.550805104,0.747393642
1,0,0.076497645,0.532171284,-0.50554031,-0.321709478,-1.799598378,-0.217729228,-0.208441831,0.054575686,-0.754293797,-0.462917221
1,0,0.074009359,-0.027295747,0.208233164,-0.233957009,-0.50175068,-1.298907965,-0.591360139,-0.30949051,0.648038522,-0.706567263
1,0,0.089376359,0.56596295,-0.588185589,0.407401926,0.434581075,0.325489827,0.487836994,0.115055722,-0.812247057,0.490453204
1,0,0.091003969,0.495593792,-0.540508739,-1.01977539,0.562071042,-0.319387127,1.978511059,0.038161531,0.557196332,0.165832014
2,0,0.3312134,1.065669175,-1.166605544,0.025317343,0.004996161,1.49692343,1.455527067,0.087698448,0.187364137,0.351212729
2,0,0.331043637,-0.712201596,0.059349892,-0.099523857,0.952798275,0.052318071,-1.852543182,-0.387723308,0.24400417,-0.7466029
2,0,0.331170497,-0.231398855,-0.193779377,-0.332928489,0.1823197,-0.323186957,-0.398642454,-0.385573744,0.907814307,0.382512283
2,1,0.316986694,0.786400259,-0.502255794,0.235746563,-0.672200953,-0.152063214,0.637390617,-0.321922937,0.289419237,-1.698990959
1,0,0.076278861,0.338457832,-0.128570877,-0.057489974,0.376329305,-0.31615052,-0.040154768,-0.423228709,0.052424427,0.856242366
2,0,0.304271782,0.178891999,0.199934068,-0.028012524,-1.500764348,-0.619173243,-0.547440792,-0.527441422,-0.096317734,-0.113139691
2,0,0.323102171,0.625349171,-0.441202953,-0.488007701,-0.049971348,0.398114739,2.771330509,-0.653777345,-0.327427929,0.499681967
2,0,0.330828347,1.007767404,-0.642558554,0.09436703,0.442331311,0.730320891,1.271435781,-0.443583771,0.361304619,1.092406533
2,0,0.331343611,0.288031843,-0.684958528,-0.032033572,-0.194098208,-0.063846311,-0.381237267,0.300926946,0.81971659,1.09505972
2,0,0.317569981,0.794944598,-0.74080621,-0.096551638,-1.42098996,-0.471916909,-0.261276045,-0.660495291,0.498446375,-1.785442109
2,0,0.333995681,0.54049535,-0.785109831,-1.590991415,1.789731501,0.802656525,0.108364541,-0.440414309,2.143852827,1.066322983
2,0,0.181185592,-0.889372414,1.307496977,0.66453788,-1.745462918,-0.640720829,1.282993299,0.385659767,-1.338502789,-1.431693476
2,0,0.328708721,0.162934707,-0.241522155,-0.781106626,0.876292559,0.683019576,-1.338476648,-0.893947757,0.196421051,1.185988854
2,0,0.33217506,0.790675199,-1.130257731,-1.071514136,1.981283624,0.818573838,0.151666298,-1.090311297,1.920489417,1.858405173
2,0,0.322266454,0.30773542,-0.210771012,-0.933402078,-0.146069857,-0.810294016,0.375863611,-0.546668817,1.607419762,0.334445604
2,0,0.293207435,-0.258767265,0.455173398,0.019399742,-0.655800022,-0.703408553,-0.366444362,-0.220443997,-0.080425874,-0.554937516
1,0,0.091943239,1.002349218,-0.930614738,-0.344825781,1.294516087,0.609792979,1.110467324,-0.703885864,0.099957325,0.614063937
1,0,0.005788136,-0.639686728,0.888715139,0.064672476,-0.575704823,-1.339150533,0.203291923,-0.442718246,-0.178420524,0.025925214
1,0,0.092016742,0.730865563,-0.753954869,-0.791165191,-0.116609831,1.6179234,1.02920897,0.090331119,0.106230497,1.295592063
2,0,-0.109229865,-1.501081832,1.768823722,1.261773514,-0.694884142,-0.635516068,-0.165154922,0.144353036,-2.209937263,0.375460303
2,0,0.329530662,0.738639734,-0.900522229,-0.19495722,0.744127051,-0.272325944,0.132527079,-0.3824096,0.338422436,-0.474914916
2,0,0.306110838,-0.736506305,0.588893989,0.424568887,-0.236337825,-0.993452068,-0.440132656,-1.620062856,0.241108523,-0.127406982
2,0,0.331037797,0.830412927,-1.017207995,-0.307616121,0.531961575,0.598616438,-0.192186528,-1.182591719,0.812249695,1.028907175
2,0,0.329610878,0.562763015,-0.573261465,-0.718436402,0.701234619,0.161336821,-1.469486535,0.238363586,0.599366251,0.774311093
1,0,0.090106971,1.047625764,-0.838718514,0.038722334,-0.823157663,-0.034960706,0.272654169,-0.195008501,0.508783393,-0.97485292
1,0,0.090866948,0.695647699,-0.436261871,-0.114029303,0.118641535,-0.19141083,-0.020217965,-0.195868695,0.473936126,-0.404289959
2,1,0.318516763,0.40080277,-0.253130003,0.10543088,-0.250177083,-0.631627782,-0.324266794,-0.879756799,-0.279116961,-0.912167585
2,1,0.261549223,-0.733032177,0.909391207,0.061379512,-0.651355202,-0.442360764,-0.149897554,0.21730339,-1.190040677,-0.554380294
2,1,0.318808401,-0.110323718,0.092501916,-0.144904411,0.125788656,-0.784052556,-1.414649857,-0.994034709,-0.464966701,-0.56623095
2,1,0.336828367,-0.216331954,0.142574908,-0.7268177,1.222920225,-1.157435352,-0.046074829,-0.312330854,1.310698461,-4.680814606
2,1,0.28996072,-0.455216182,0.674291747,0.440513981,-0.522450217,-0.855549453,-0.102124611,-0.650983178,0.042191376,-3.211600561
2,0,0.321047944,0.841935867,-0.730681965,-0.872493399,-0.693065668,-0.333969427,1.00330517,0.284299982,1.069031461,-0.229225722
2,0,0.313509464,0.546714296,-0.357446612,-0.467965937,-1.082573014,-0.341485126,-1.594417755,-0.798243179,1.188005263,-0.352161941
2,0,0.323164728,0.742342811,-0.696719336,-0.568173574,-1.337020528,-0.141923862,-0.628760173,-0.462545422,0.818970869,-0.59131102
2,0,0.31991684,0.687155245,-0.657048618,0.313312183,-0.805536444,0.07242208,-0.207878724,-0.416186746,0.168599088,-0.649238124
2,1,-0.028169504,-1.335671097,1.490397692,1.219119719,0.036321545,-0.714462519,-0.242839716,1.048772787,-2.377450556,-0.099966609
2,1,-1.661873309,-2.007061931,2.364177823,1.762960005,-0.718881089,-0.832618552,-0.319242166,1.306043247,-2.093748052,0.211588837
2,0,0.259525887,-1.212082823,1.25023416,0.002488616,-1.014494873,-0.853813762,0.568159066,-0.299009189,0.679180413,-0.648471196
2,0,0.325580703,0.74680927,-0.825020076,-0.85653182,-0.350371971,0.601072108,-0.599943382,0.477633734,0.592378899,0.151175001
2,0,0.328542795,0.920862922,-0.865094017,-0.265420302,-0.569390825,-0.692244592,0.332771412,-0.762114383,0.414007304,-1.208744604
2,0,0.319314929,0.298228657,-0.263507188,-0.713090342,-1.212116668,0.046009005,1.726032759,-0.548900643,-0.037455353,-0.646908652
