batch,Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.1.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.LHH_glszm_SmallAreaEmphasis,wavelet.HHH_glcm_MaximumProbability,log.sigma.2.mm.3D_glcm_Imc1,wavelet.HHL_glcm_MaximumProbability,wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,wavelet.LLH_firstorder_Kurtosis,wavelet.LHH_glrlm_RunEntropy
1,0,-0.827244606,0.659416481,-0.415020075,0.638595837,-0.233588484,-0.47922735,-0.897260762,-0.545375437,0.1791095,0.585319715
1,0,-0.908736421,0.24978465,-0.179549035,0.706575132,-0.085693985,-0.060212557,0.533428388,-0.794165391,-1.14005899,0.901484497
1,0,1.324637726,-0.747240869,-0.487089047,1.907138945,-1.220553486,-0.532860614,-0.085779904,0.607703376,-0.113913967,0.176007724
1,0,-0.959783302,1.681450885,-0.583345018,-0.745794564,1.757463229,0.968752865,1.169984208,-0.040766981,1.402897439,0.160760759
2,0,-0.41327136,-0.339913966,0.674006091,-0.562780641,-0.410940743,0.725299231,-0.687930244,-0.282934455,-0.436483229,-0.802797382
2,0,-0.614508547,-0.223611887,0.554679831,0.103315222,-0.036657574,0.20948015,0.359295507,0.145613085,0.14959168,0.554222856
2,0,-0.794990692,-0.609185913,0.086753757,0.920018412,0.12555594,0.955475694,1.984559151,0.737341811,0.646464046,-0.672996753
2,0,-0.446345729,0.054726005,0.069701055,-1.981818566,-1.792995391,1.773049394,-0.167937118,-0.458171139,-0.833565598,-1.424581405
2,0,-0.829403836,0.470180606,-0.493453676,0.135104493,0.179098047,0.972566694,-0.330950394,-0.847178588,-0.513690639,0.345536361
2,0,-1.08199153,-0.293316958,-1.02380328,-0.131806317,0.042195214,0.36716713,0.427589053,-0.729890167,-0.175748127,-0.44745765
1,1,-0.568262811,1.844068458,0.485842053,-1.563312185,-0.43937532,0.705672695,1.031500734,-0.548638735,-0.437391981,1.040832935
1,1,-0.656473847,-0.718540932,-0.974561775,0.004798218,0.945986038,-0.059741238,-0.250716747,-0.377958802,3.296962719,0.302674186
1,1,-0.054579667,0.840057372,-0.830679625,-1.204762305,0.567867,1.276734862,-1.144961495,3.124550468,-0.294374609,-1.042013044
1,0,0.288323278,-0.630691113,-0.921190103,0.428846884,-0.601798026,0.025821923,-0.617424629,-0.891640097,0.098646653,0.00681898
1,0,0.189806542,-0.812889578,-0.658731566,-2.186155792,-0.341567706,-0.440899654,1.036817227,-0.074533183,-1.825997178,-0.199888519
1,0,0.304238728,-0.298764536,-0.431852573,-0.342696991,-0.917686039,0.229745897,-1.434655788,0.311105047,0.037086169,-0.142456142
1,0,0.116746392,-0.619612907,-0.513287515,1.505170934,-1.127512189,-0.041084108,-0.622614504,-0.391561376,1.632620087,0.890841207
1,0,-0.710426253,-0.384563952,-0.296589081,0.448631466,-1.659060326,-1.675289011,-1.388296638,-0.975953779,-0.021544708,0.820241573
1,0,0.374681482,0.159426285,-0.483259297,0.620003132,-0.226600502,-1.592581411,-0.436053587,-0.947252448,-0.042073392,0.808374917
1,0,-0.208973898,-0.820176748,-0.885035103,-0.065981656,-1.240212182,0.613519497,0.650846859,-0.290877685,-0.075087561,-1.442033793
1,0,-0.742525677,0.943160219,0.162463951,0.408106704,-0.621292596,0.996567337,-0.821754668,-0.87540621,-1.475534423,0.306708112
1,0,-0.610943644,-1.045279153,-0.101676724,-3.626273766,0.00070717,1.304075691,-0.04092778,-0.394294274,-0.958648111,-1.675743332
1,1,0.438093816,-0.655336618,-0.075637117,0.453511029,-0.244321531,-0.330221905,0.223704595,1.192691277,-0.178995158,0.864149746
1,1,0.000648408,0.199476861,-0.771732748,0.587864868,0.148576764,0.082966173,-1.044086995,-0.577371461,0.942381507,0.196880426
1,1,0.942443022,-0.710155031,-0.16286211,-0.003777873,-1.476479505,0.032890892,-0.616008472,0.575899379,1.961010945,-0.983049089
1,0,-0.760827525,-0.097138538,-0.571691751,-0.925786074,0.150986407,1.044234957,0.417186686,0.764005467,0.357145299,0.215393865
1,0,-0.661672843,-0.678184743,-0.580035214,0.065509118,0.640078449,0.570220501,0.765066403,-0.746027514,1.710687332,-0.07937272
1,0,0.080575405,-0.444052605,-0.628093554,-1.106861778,-0.346082972,0.974425826,0.811533081,-0.272607942,-1.151193639,-0.711740061
1,1,-0.000115325,-0.850665092,-1.13570978,-0.504949607,0.432625543,0.33806763,-0.829696935,0.966115171,0.762864295,-0.318115163
1,1,0.699484855,-0.693573161,-0.40476792,2.647473018,0.188892754,0.06382392,-0.997948001,-0.559712653,-0.915870397,0.726529667
1,1,2.247822063,-0.987358957,0.719651654,0.451788468,-1.141323117,-0.152083388,-0.817902433,-0.578825189,0.676020959,0.289234627
1,1,2.082486767,-0.991403736,1.540187135,0.618376041,-0.293090761,0.74058927,-1.096546122,-0.535482804,1.870655474,0.68680457
1,0,-0.228936046,-0.757659841,0.550589021,-0.527768019,1.148131399,1.025034909,0.033862679,3.377646617,0.100918089,-0.891452485
1,1,1.330059169,0.694828618,0.321900985,0.296672203,-0.886363704,0.233046474,-0.293094984,0.82022943,-0.058884097,-0.455903312
1,0,-0.550342193,-0.610124818,-0.523731031,1.237160865,1.158989445,0.077238983,2.163261352,0.041282252,-0.323800274,-0.801185622
1,0,-0.783553582,-0.668596947,-0.628093554,1.510436752,-0.968072632,0.270110922,-0.515927142,-0.18742445,-1.205001383,1.188083501
1,0,0.830529531,-0.924172526,-0.772861889,-0.313280233,1.078260915,0.560410941,1.286836591,0.223154478,-0.088645361,-0.358685223
1,1,0.077734448,0.335701806,-0.603112823,0.673816842,-0.995878873,-2.560014388,-0.794708165,-0.944120695,0.461135283,1.341223208
1,1,0.41046132,1.597613854,-0.77270754,0.233072607,0.876143284,-1.274332318,0.076302401,-0.978460311,0.500619612,0.16217303
1,1,1.064056895,-0.540288282,-0.371782408,0.071546617,-0.386853984,-0.501661786,-0.742393578,-0.624800876,-0.19909882,-0.172429959
1,0,0.721645658,-0.800144035,-0.852153393,0.821568112,-0.969766719,-0.396091723,-1.110035099,-0.43817454,0.436735125,0.320806701
1,1,0.055078899,-0.53617689,-0.485687564,0.561736419,-0.547844574,-2.374577223,-0.857849271,-0.97449273,0.020013491,1.560748361
2,1,1.589371215,-0.824840556,0.85487264,-1.692856604,1.130905517,0.125422118,0.513140241,-0.192028045,-0.131152575,-1.449598897
2,0,-0.760261341,-0.12721443,-0.648558634,0.76773781,-0.349621008,-0.690509347,-0.010392129,-0.163108266,-0.814843609,0.288295234
2,1,-0.369675383,1.709771302,0.530123941,0.563857913,-0.333484153,1.107320033,-0.636817413,-0.111117682,-0.244200268,0.699873235
2,1,-0.39330982,-0.64938378,0.184806779,-2.370847153,-0.338762723,0.931225476,-0.319806253,1.111468711,0.26099111,-1.139498963
1,0,-0.690342037,-0.384389783,0.162463951,-0.680812934,-0.202758241,1.601547769,-0.849422287,0.527258517,-0.665431875,0.47126646
1,0,-1.12694163,1.489769869,0.485842053,-1.540070865,1.434028908,1.285167766,1.719434086,0.627344681,-1.119228691,-0.766196484
1,0,0.155606938,-0.349825051,0.499942503,-0.704773559,-0.561375237,0.9364311,-1.327127764,-0.462243995,-1.225297279,-1.797140597
1,0,-0.706716308,0.56903932,0.499942503,0.984436803,1.081702201,0.140657727,1.498456478,-0.181100584,-0.20031122,-0.308565691
1,0,-0.786318099,-0.36355379,-0.728363427,-0.171894605,-0.789922835,0.631660293,-0.075177425,-0.192686798,-0.183006041,-0.26803839
1,1,0.118343063,0.902645559,-0.53897804,0.873585566,-1.171549154,-1.290430416,-1.004209129,-0.28993884,0.259535099,0.951115894
1,1,0.910976914,-0.748797064,-0.163980332,0.402901303,-0.683582288,0.278463994,-0.570341561,-1.240469422,1.080478452,-0.299534418
1,1,0.805178597,-0.247913809,0.189640224,0.516722284,-0.342076799,-1.486826142,-0.827746883,-0.543368707,0.5340807,1.655790038
1,1,-0.432516839,-0.481216511,-1.076522698,-0.222014892,-1.090523885,-0.462577639,-0.372428888,0.837537886,0.454091205,0.56227855
1,1,0.891987143,-0.470547677,-0.208597148,0.793951546,-0.210831601,-1.494187915,-1.093100228,-1.01183299,0.294487424,0.986535008
1,0,-0.348505308,1.970383552,1.778383365,0.21236356,1.619565485,0.231889862,1.595692441,0.855743766,0.801450698,0.073845325
1,0,-1.406174656,-0.594073432,0.525009969,0.755797792,-2.228628458,0.899935093,-1.000398585,0.494835864,1.881236757,1.160204948
1,0,-0.700107421,2.533270795,2.248398392,-0.125466081,-0.858416086,1.471152196,0.648993573,7.368684125,-1.3685179,0.075351691
1,0,-0.117330853,0.285586387,0.83835332,-1.098330319,2.890491527,0.873537424,2.125511721,4.390792871,0.763179395,-2.774766425
1,0,-0.89770996,-0.212473755,0.274335292,-0.468269595,0.129165192,0.467794216,0.45278871,0.07192641,-1.313990874,-1.219410502
1,1,-0.987011534,-0.068776312,-0.680976911,0.12260054,-0.45992773,-0.680699449,-0.925885321,-0.39045215,0.797143792,1.217278567
1,1,-0.038711935,0.462558628,-0.411510631,-3.567559815,-0.747749399,0.383779856,-0.153592289,0.771911821,0.170290883,-0.406769973
1,1,1.113431409,-0.472650204,-0.281583416,0.874381028,0.405415319,-0.244058752,-0.377719506,-0.539479154,-1.003423617,-0.12020632
