Label,wavelet.LLH_glcm_Idn,wavelet.LHL_firstorder_Median,original_shape_Elongation,wavelet.LHL_glcm_MaximumProbability,wavelet.LLL_glcm_Correlation,log.sigma.1.mm.3D_firstorder_90Percentile,wavelet.HLH_glcm_MCC,wavelet.HHL_firstorder_Median,wavelet.HHL_ngtdm_Contrast,original_firstorder_10Percentile
1,-0.511420735,0.008891305,1.561528133,0.005013228,0.453729909,-0.115027289,-0.494635927,-1.166779852,-0.715159424,-1.259794519
1,-1.671084449,3.836652068,-0.778685619,-1.427344822,-0.001835947,0.95295683,-0.407026898,2.40606155,0.471588409,1.546039212
0,0.325430921,0.473000859,0.39491734,-1.061715353,-0.176119542,-0.337321085,-0.296208127,0.078848045,-0.294440993,0.223052777
1,1.135126759,0.409920785,-0.686854777,0.088981699,1.241743267,-0.558822635,-0.869735659,0.168537938,-0.683707794,-0.398015855
0,0.643138279,0.196237667,-0.71303049,0.834398762,-0.253740727,-0.514753319,0.505515506,0.093986884,0.115840832,-0.636888406
0,-0.161077231,-0.451706511,-2.666636767,1.653232937,-1.751177543,0.171508237,1.023016635,-0.587280318,-0.183363609,-0.694769063
1,0.15092793,-2.318956416,-1.012438478,-1.897907009,0.834017824,0.662053943,-0.575933458,0.460091371,-0.613223387,0.802778083
1,0.232166479,-1.437111246,-1.191890204,-0.113127844,-0.644012374,-0.870424676,0.094358191,0.859541436,-0.673456213,1.407309385
0,-2.423761504,0.830807654,1.100249435,0.417671882,-1.291000622,3.918237679,-0.877198111,2.265081199,-0.466024745,-0.866573551
1,0.800852275,0.010142234,0.514713477,-1.709249745,0.458761422,-0.096952579,-0.037631926,-0.797350159,-0.55179816,-0.45314029
1,0.162032948,-0.03100486,0.863149055,0.138489032,0.552522524,0.058328167,0.654807795,0.009806035,-0.701883041,-0.122393681
1,-0.78945859,-0.556560803,-0.269375922,-1.425090146,-0.199801174,0.95744442,0.357964423,0.730187703,-0.359141012,3.169453817
1,0.584488334,0.762350975,0.401945769,0.257425536,0.918234275,-0.836205253,-1.145289453,0.395544597,2.636416118,1.16200565
0,0.419344338,-0.731804092,-0.679068208,-0.302661515,-1.274425171,0.546562371,1.780775522,-0.086339102,0.117792502,0.205596706
1,0.798564668,-1.001383457,-0.229705299,-0.559436382,0.982556844,-0.099199027,-0.612122473,-0.044622297,-0.89991278,1.650775638
0,0.970989435,0.44406784,-2.352241777,-0.243900856,0.150304292,-0.070203327,-0.00504773,-0.011447724,-0.598817109,0.410475855
0,0.045841918,0.437247316,1.337757709,-0.132247816,0.785151865,-0.75159496,-0.592456404,0.317821725,-0.339435497,0.777972087
0,-0.289008999,0.020238693,-1.589648921,0.849707317,-1.104713849,0.782444601,1.390446703,0.034488956,0.067094923,-1.126577135
1,0.852945954,-0.327657305,1.077583486,-0.067372824,0.960880145,-1.151077417,-1.348171619,-0.56602336,-0.310995511,0.393019784
0,-1.373460751,-0.186734867,1.121558309,1.958799711,-1.31971461,0.630823398,2.182809901,0.380136894,2.287760313,1.03521945
0,0.867792073,0.098386465,0.09370519,0.333349102,0.974338188,-0.698668706,-0.869881121,0.388325041,-0.365277095,-1.050321667
0,0.180822081,-0.480183979,0.812136689,-0.974946531,0.30332876,-0.387370946,-0.640619564,0.393867485,-0.466652379,0.438038073
0,-0.357962094,0.206674116,-0.010087329,0.498008462,0.549353555,-0.608501947,-0.238956766,0.488652575,-0.710762608,-0.581763971
1,0.28685572,0.385404612,-1.170228112,-0.170916218,0.781575231,-0.50730846,-1.199035502,-0.002591288,-0.816172348,-0.021332217
0,-1.7834454,1.708357065,-0.311547865,-0.952216804,-1.535797791,0.512152825,-0.350026714,5.846110208,3.927212039,-1.016328266
0,-0.253850267,-0.781237274,-1.049951086,0.207717534,-0.058957286,-0.650967704,0.302333956,0.157113384,-0.663740985,0.125666275
0,0.458864804,0.219802344,0.704879025,1.933502843,0.249783612,-0.049792001,1.210578098,-0.737495026,0.197491549,0.763272238
0,0.75150787,-0.40352973,-0.382982886,-1.512260852,1.048423424,1.553350954,-0.535676449,0.035785969,-0.613625614,-0.251017362
1,1.705537033,0.121416372,1.122223718,-1.065536059,1.321072046,0.016501665,-0.663835867,0.383057699,-0.819431734,1.650775638
0,-0.618774014,-0.185445468,1.447623535,-0.002157146,0.65015837,0.062157919,-0.134313478,0.049015325,-0.690597222,-0.335541496
0,0.881955331,0.044598254,0.622057711,-0.635868245,0.442065069,-0.249891401,-0.493773726,-0.843317121,-0.001970614,-1.042053002
1,1.868404798,-0.028870154,-0.165638534,-0.269684452,1.380883808,-0.559217615,-1.019838714,0.143026725,-1.003792374,-0.56338916
0,-0.189865608,1.040544943,0.674471401,0.427467932,0.587119779,2.546133025,-0.657170013,0.378646414,-0.498845168,-0.84819874
1,0.904619659,-0.051561258,1.277644917,-0.326306683,-0.254232448,-0.623758895,-0.807553681,0.143599614,0.161331761,0.153228493
0,0.391968098,0.519846631,-2.264700518,4.302287937,0.699904575,-1.091033222,0.230441622,-0.150517279,2.227392084,-0.73794987
1,-0.349915991,0.237917865,0.940952049,-0.190839449,0.677113733,-0.393094983,-0.24693882,0.093192781,0.181262775,0.136691162
0,-0.461868682,2.460511895,0.249303908,-1.364294703,-0.575378741,0.264611098,-0.193101178,-1.762428399,3.744820358,1.999897059
1,0.633148867,-0.835860059,0.606050626,-0.706220009,-0.851889453,-0.064338551,1.11005748,0.141966791,-0.158802075,1.262148373
1,0.728553952,-0.334609501,1.006213283,-0.287245046,0.573040344,-0.762196404,-0.830861226,0.226644319,0.089521435,0.934157986
0,-1.981958772,-0.313912997,1.046943833,-0.35259802,-1.088315742,-0.385831756,0.201706668,0.955350481,-0.211533822,-0.063594284
1,-0.524607061,-1.254878128,1.505139304,-0.893502149,0.413948002,-0.683780175,-0.442975425,0.805871004,-0.586976978,0.918539396
0,0.41725204,0.482632356,-0.821710176,-0.45995248,1.276313713,-0.103864903,-0.531542159,0.376066548,-0.554359992,0.777972087
0,0.221119639,1.421892076,-1.211540157,-1.295658472,-0.705696838,0.699754174,-1.262832119,-0.615016992,-0.30232859,-0.56338916
0,1.161002172,-0.111372005,-0.458590641,1.642210721,-0.003776567,-0.771577556,1.094476527,0.05879863,2.630662874,-0.535826942
0,0.357309593,-0.176982917,0.582594183,-0.331131682,0.79530338,-0.796892376,-0.68808213,-0.156816611,2.443774162,-0.765512087
0,-0.443356752,0.043900981,0.182343911,1.072586825,0.709693709,-0.809102363,-1.100796612,0.327851614,0.175911607,1.018682119
0,0.857789743,0.850882986,-0.403740598,-1.177129948,1.026687134,1.064310492,0.19022253,0.08298891,-0.778891296,-0.434765478
1,1.155065528,0.439937889,0.296491394,-0.8194932,0.338245335,-0.068122283,-0.764016625,-0.2505115,-0.793910076,0.076973025
0,-0.065524748,-1.913859072,-1.360647362,0.098753871,-1.337676371,-1.195333978,2.169971327,-4.725517977,-0.318199106,-0.271229655
0,-0.085572788,-0.011524023,0.115641786,-1.165778645,-0.245380455,-0.460914499,-1.289362453,0.396303816,-0.42936531,-0.367697416
0,-0.601174042,-0.278080208,0.611829723,0.097701483,-1.485942939,0.490012059,0.89371588,0.091900839,-0.274524383,-1.252444595
1,0.220676819,0.159118873,0.644401254,0.203007115,1.411816197,-1.154620972,-1.402298628,-0.401505876,-0.209644901,0.052167029
0,-0.145756913,0.047685256,-0.371195026,0.878934812,-0.869391374,0.423723359,0.390110015,-0.023422679,-0.432000404,-0.647913293
0,-0.775530744,1.234188385,-0.693315116,-1.773908281,-0.375172646,1.072297743,1.250057973,-0.031507115,1.295451952,-0.416390667
0,-1.503580062,0.00238963,0.112945921,1.281135687,-1.13811581,-0.147054523,1.727337657,-0.585328291,2.247296205,-0.324516609
1,0.765046014,0.570469574,0.228910009,-1.543404561,0.108448769,1.135159714,-0.393440239,-0.143127525,0.252096781,0.027361033
0,-2.196386152,0.807423144,-0.211915094,-0.025268869,0.963981631,0.809720071,-1.101717685,0.046969325,-0.827099849,-0.352078826
1,0.552431368,-0.511144511,-0.469066831,-0.744952487,0.504368449,-0.596424082,-0.698801219,-0.168009832,-0.776487505,0.382913638
0,-4.216112109,-1.316311554,-0.569681845,1.603339084,-6.169849812,0.242491633,3.797669176,2.358971426,1.802900551,-0.370453638
1,1.528280285,0.144598564,0.594589741,0.074159389,1.459871681,-0.832656567,-1.255396442,0.071798192,-0.799331528,0.970907609
0,-0.710435878,1.2710276,0.284711456,0.330608242,0.157785662,2.993067649,-0.310846985,0.682786441,-0.639885484,-1.151383131
1,0.427496771,0.033548345,-0.141372418,-0.932256002,1.443624933,-0.323481424,-0.751582286,0.174177952,-0.90508412,-0.299710613
0,-0.511131724,2.734872759,-0.405166056,-1.65284599,-0.408660264,1.338929057,0.906977847,0.338027571,1.153156914,-1.298381624
0,0.386150123,-0.010356246,-1.21246191,0.609804834,-0.380880549,0.317836435,1.050121463,0.261694231,-0.306067659,-0.655263218
0,-1.142041115,-0.486018502,1.319793426,0.162302101,-1.691589821,0.023222859,1.08132953,-0.228857802,0.049383102,-0.388828449
0,-0.546513143,-0.228826099,-0.100723168,-1.026508474,-0.916215062,-0.278028813,0.937338015,-0.393329129,0.209601148,-0.554201754
0,-1.167162958,-0.483252918,-0.761905243,-0.018509875,-0.951771654,1.011606014,1.510524061,-2.980500631,-0.158668739,-0.627701
0,0.41892316,0.030999028,1.070313171,0.813655337,0.559868158,-0.956795074,-1.045869695,0.032212064,-0.469254018,0.768784682
1,0.976861491,0.079648034,-0.636657137,-0.073665908,1.268548538,-0.812081581,-1.098618051,0.186925302,-0.273243345,0.300226986
0,-0.132064142,0.091846768,0.377380193,1.090503214,-0.260174592,-1.0425594,-1.011831692,-0.821536917,2.791815368,-0.050731916
0,-0.002923307,-0.158508894,-1.235270805,1.087162112,-0.504443245,1.776732452,1.841541906,-0.134951858,0.144149882,-0.449465328
1,0.224130547,-1.173825923,-1.347616086,0.307965067,-0.124052176,0.095894244,0.123540072,-0.753467413,-0.434060584,2.007246984
0,2.109774032,1.082914267,-0.270217457,3.085903465,-2.853319725,1.424542084,2.189049009,1.492153772,0.44366138,-1.068696479
1,0.282264068,-0.278678098,0.542767896,-0.067277866,-0.650382542,-0.790183578,-0.551875328,-4.300746236,0.088645086,-0.399853336
1,0.918127484,0.123277577,1.170739417,0.119687381,-0.043353196,-0.470330949,-0.967445885,0.289823952,-0.457709031,0.003473778
0,-0.177705283,-0.739363769,-0.815246429,0.307859621,-1.332139204,-0.495364785,1.426012108,0.065210481,-0.325258273,0.00623
1,-0.45977219,0.17285279,0.407825421,-0.293020651,0.196632331,-0.120105037,-0.263941631,-0.610209984,-0.577188458,-0.875760957
0,-1.871554772,0.702145923,0.111851134,0.47825203,-0.932326009,2.546807702,-1.034252044,1.730220589,-0.520850644,-0.719575058
1,1.362364691,0.051350675,1.499106825,-0.125618605,0.79222248,-0.680896802,-0.640456399,0.299480462,-0.526816775,0.557474348
0,-2.184782063,-0.030403055,0.783604882,1.352320358,0.024375943,-0.210711725,1.828851511,0.080040882,2.575616004,-3.613607886
0,0.009709723,0.120608151,0.888654293,0.311963714,0.300361687,-1.084385353,-0.864459282,-0.286205296,-0.397441898,0.11647887
0,-1.483603118,-0.645015629,-0.956739211,1.284235826,-0.174976494,0.340907091,0.746469844,0.820158127,0.274094173,0.541855758
0,0.528935192,0.107141521,1.443594809,0.373857898,0.476483234,-0.743114229,-1.053024805,-0.036007216,-0.847850297,0.25888366
1,0.788075751,-0.707270522,0.453887127,-0.881011085,0.121290434,-1.141217359,-1.172298605,0.622010276,-0.543682057,1.702225111
1,0.512501292,0.271365703,1.320256741,0.563384045,1.56756661,-0.641993792,-1.118753787,0.334379039,-0.761384523,0.235915145
0,-1.720955158,0.606015334,1.018443878,-0.996051933,-0.080288608,0.966385488,-0.479837599,-1.070624253,0.590800829,1.540526769
